epoch,accuracy,loss,val_accuracy,val_loss
0,0.022516556084156036,4.204532146453857,0.021164020523428917,4.155844688415527
1,0.013245033100247383,4.157275199890137,0.01587301678955555,4.15176248550415
2,0.02384105883538723,4.1526265144348145,0.021164020523428917,4.156144618988037
3,0.017218543216586113,4.1470136642456055,0.010582010261714458,4.139604091644287
4,0.022516556084156036,4.134425640106201,0.010582010261714458,4.128629684448242
5,0.03178808093070984,4.115159511566162,0.026455026119947433,4.119991779327393
6,0.02384105883538723,4.09063196182251,0.026455026119947433,4.103504657745361
7,0.042384106665849686,4.06317138671875,0.026455026119947433,4.081322193145752
8,0.046357616782188416,4.0249786376953125,0.03703703731298447,4.064194679260254
9,0.05562913790345192,3.9775147438049316,0.05291005223989487,4.0337815284729
10,0.06622516363859177,3.931556224822998,0.03703703731298447,4.012911319732666
11,0.0701986774802208,3.883967876434326,0.0634920671582222,3.9668004512786865
12,0.09006622433662415,3.822105884552002,0.05291005223989487,3.936777353286743
