epoch,accuracy,loss,val_accuracy,val_loss
0,0.014569536782801151,4.194223880767822,0.01587301678955555,4.158388137817383
1,0.00794702023267746,4.159104824066162,0.01587301678955555,4.1586689949035645
2,0.01589404046535492,4.159019470214844,0.01587301678955555,4.158568859100342
3,0.013245033100247383,4.158914089202881,0.01587301678955555,4.158472061157227
4,0.01589404046535492,4.158846855163574,0.01587301678955555,4.158345699310303
5,0.011920529417693615,4.1587677001953125,0.01587301678955555,4.158301830291748
6,0.01589404046535492,4.1587018966674805,0.01587301678955555,4.158212184906006
7,0.013245033100247383,4.158646583557129,0.01587301678955555,4.158122539520264
8,0.014569536782801151,4.1585612297058105,0.01587301678955555,4.158036708831787
9,0.01589404046535492,4.158502101898193,0.01587301678955555,4.15795373916626
10,0.00794702023267746,4.158412456512451,0.01587301678955555,4.157863140106201
11,0.00794702023267746,4.158350944519043,0.01587301678955555,4.157829284667969
12,0.011920529417693615,4.158341407775879,0.01587301678955555,4.157739639282227
13,0.009271522983908653,4.158267498016357,0.01587301678955555,4.157690048217773
14,0.014569536782801151,4.158149719238281,0.01587301678955555,4.157598972320557
15,0.010596026666462421,4.158114433288574,0.01587301678955555,4.157506465911865
16,0.010596026666462421,4.158074378967285,0.01587301678955555,4.1574625968933105
17,0.013245033100247383,4.157998561859131,0.01587301678955555,4.157392978668213
18,0.01589404046535492,4.157928466796875,0.01587301678955555,4.157325744628906
19,0.009271522983908653,4.157948017120361,0.01587301678955555,4.157271385192871
20,0.01589404046535492,4.157880783081055,0.01587301678955555,4.157205581665039
21,0.01589404046535492,4.157790184020996,0.01587301678955555,4.1571550369262695
22,0.01589404046535492,4.157790660858154,0.01587301678955555,4.157102108001709
23,0.01589404046535492,4.157737731933594,0.01587301678955555,4.157051086425781
24,0.01589404046535492,4.157738208770752,0.01587301678955555,4.156991481781006
25,0.010596026666462421,4.157678127288818,0.01587301678955555,4.156914710998535
26,0.013245033100247383,4.157601833343506,0.01587301678955555,4.156888484954834
27,0.01589404046535492,4.1575493812561035,0.01587301678955555,4.156879901885986
28,0.01589404046535492,4.1575727462768555,0.01587301678955555,4.1568427085876465
29,0.01589404046535492,4.15755033493042,0.01587301678955555,4.1567769050598145
